English,Portuguese
you,tu
I,eu
to,para
the,a
a,uma
and,e
that,naquela
it,isto
of,do
me,mim
what,o que
is,é
in,no
this,isto
know,conhecer
I'm,Eu estou
for,para
no,não
have,tenho
my,minha
don't,não
just,somente
not,não
do,Faz
be,ser
on,sobre
your,sua
was,era
we,nós
it's,Está
with,com
so,tão
but,mas
all,tudo
well,Nós vamos
are,estão
he,ele
oh,Oh
about,cerca de
right,direito
you're,você é
get,pegue
here,aqui
out,Fora
going,indo
like,gostar
yeah,sim
if,E se
her,dela
she,ela
can,posso
up,acima
want,quer
think,pensar
that's,isso é
now,agora
go,ir
him,dele
at,no
how,Como as
got,conseguiu
there,lá
one,1
did,fez
why,porque
see,Vejo
come,vir
good,Boa
they,elas
really,realmente
as,Como
would,seria
look,olhar
when,quando
time,Tempo
will,vai
okay,Certo
back,de volta
can't,não pode
mean,quer dizer
tell,contar
I'll,eu vou
from,a partir de
hey,Ei
were,estavam
he's,ele é
could,poderia
didn't,não
yes,sim
his,seu
been,estive
or,ou
something,algo
who,quem
because,Porque
some,algum
had,teve
then,então
say,dizer
ok,OK
take,leva
an,um
way,caminho
us,nós
little,pequeno
make,faço
need,necessidade
gonna,vai
never,nunca
we're,estamos
too,também
love,amar
she's,ela é
I've,Eu tenho
sure,certo
them,eles
more,mais
over,sobre
our,nosso
sorry,desculpa
where,Onde
what's,o que é
let,deixar
thing,coisa
am,sou
maybe,pode ser
down,baixa
man,cara
has,tem
uh,Uh
very,muito
by,por
there's,há
should,deve
anything,nada
said,disse
much,Muito de
any,algum
life,vida
even,até
off,desligado
please,por favor
doing,fazendo
thank,obrigado
give,dar
only,só
thought,pensei
help,ajuda
two,dois
talk,falar
people,pessoas
god,Deus
still,ainda
wait,esperar
into,em
find,achar
nothing,nada
again,novamente
things,coisas
let's,vamos
doesn't,não
call,ligar
told,contado
great,excelente
before,antes
better,Melhor
ever,sempre
night,noite
than,que
away,longe
first,primeiro
believe,acreditam
other,de outros
feel,sentir
everything,tudo
work,trabalhar
you've,você tem
fine,multar
home,casa
after,depois de
last,último
these,esses
day,dia
keep,guarda
does,faz
put,colocar
around,por aí
stop,Pare
they're,eles estão
I'd,Identificação
guy,cara
long,grande
isn't,não é
always,sempre
listen,ouço
wanted,procurado
Mr.,Senhor.
guys,galera
huh,Hã
those,Essa
big,grande
lot,muito
happened,ocorrido
thanks,obrigado
won't,não vai
trying,tentando
